date,potential_water_deficit
2009-10-01,-3.7839
2009-10-02,3.6384
2009-10-03,-3.9116
2009-10-04,-3.9367
2009-10-05,-0.4386
2009-10-06,-4.2886
2009-10-07,6.5679
2009-10-08,7.1572
2009-10-09,-3.656
2009-10-10,-3.4169
2009-10-11,-4.491
2009-10-12,-4.4506
2009-10-13,-3.5541
2009-10-14,-4.7259
2009-10-15,-1.7333
2009-10-16,0.4657
2009-10-17,-3.5881
2009-10-18,0.3525
2009-10-19,-2.9824
2009-10-20,-3.8371
2009-10-21,-2.1048
2009-10-22,0.4301
2009-10-23,-4.7289
2009-10-24,-2.1703
2009-10-25,4.8287
2009-10-26,-2.0259
2009-10-27,-4.8201
2009-10-28,-4.4609
2009-10-29,-3.1715
2009-10-30,-3.9995
2009-10-31,-3.6713
2010-07-01,-5.0594
2010-07-02,-1.417
2010-07-03,10.4992
2010-07-04,3.19
2010-07-05,-4.0312
2010-07-06,-4.4238
2010-07-07,-2.1797
2010-07-08,7.0796
2010-07-09,-0.7369
2010-07-10,-3.0255
2010-07-11,-3.6198
2010-07-12,-3.7021
2010-07-13,3.6023
2010-07-14,8.7093
2010-07-15,-1.5368
2010-07-16,2.3491
2010-07-17,-1.0445
2010-07-18,6.8392
2010-07-19,-0.7208
2010-07-20,7.5912
2010-07-21,-2.1372
2010-07-22,6.3259
2010-07-23,2.7077
2010-07-24,8.2369
2010-07-25,6.5306
2010-07-26,9.6699
2010-07-27,-0.5081
2010-07-28,-3.4724
2010-07-29,-0.7961
2010-07-30,1.3396
2010-07-31,3.787
2010-08-01,-2.2941
2010-08-02,-4.0921
2010-08-03,-4.3519
2010-08-04,-3.9257
2010-08-05,-3.6058
2010-08-06,-4.4705
2010-08-07,-3.4926
2010-08-08,-3.6694
2010-08-09,1.0557
2010-08-10,7.9563
2010-08-11,13.2907
2010-08-12,-2.4644
2010-08-13,-4.5149
2010-08-14,-3.4216
2010-08-15,2.1802
2010-08-16,-4.1361
2010-08-17,5.5936
2010-08-18,-2.37
2010-08-19,-4.1114
2010-08-20,3.8116
2010-08-21,1.119
2010-08-22,6.067
2010-08-23,15.6679
2010-08-24,3.1502
2010-08-25,-1.9497
2010-08-26,13.6535
2010-08-27,1.5618
2010-08-28,-3.8671
2010-08-29,3.0699
